,DataSetName,NominalEncoder,OrdinalEncoder,Score,Roc_auc_score
78,Car,OneHotEncoder,FrequencyEncoder,0.835820895522388,0.8308035714285714
79,Car,OneHotEncoder,TargetEncoder,0.835820895522388,0.8308035714285714
80,Car,FrequencyEncoder,BinaryEncoder,0.8208955223880597,0.8151785714285714
81,Car,FrequencyEncoder,HelmertEncoder,0.8208955223880597,0.8151785714285714
82,Car,FrequencyEncoder,LabelEncoder,0.8208955223880597,0.8151785714285714
83,Car,FrequencyEncoder,JamesSteinEncoder,0.8208955223880597,0.8151785714285714
84,Car,FrequencyEncoder,BaseNEncoder,0.8208955223880597,0.8151785714285714
85,Car,FrequencyEncoder,HashingEncoder,0.8208955223880597,0.8151785714285714
86,Car,FrequencyEncoder,SumEncoder,0.8208955223880597,0.8151785714285714
87,Car,FrequencyEncoder,OneHotEncoder,0.8208955223880597,0.8151785714285714
88,Car,FrequencyEncoder,FrequencyEncoder,0.8208955223880597,0.8151785714285714
89,Car,FrequencyEncoder,TargetEncoder,0.8208955223880597,0.8151785714285714
90,Car,TargetEncoder,BinaryEncoder,0.8507462686567164,0.8464285714285714
91,Car,TargetEncoder,HelmertEncoder,0.8507462686567164,0.8464285714285714
92,Car,TargetEncoder,LabelEncoder,0.8507462686567164,0.8464285714285714
93,Car,TargetEncoder,JamesSteinEncoder,0.8507462686567164,0.8464285714285714
94,Car,TargetEncoder,BaseNEncoder,0.8507462686567164,0.8464285714285714
95,Car,TargetEncoder,HashingEncoder,0.8507462686567164,0.8464285714285714
96,Car,TargetEncoder,SumEncoder,0.8507462686567164,0.8464285714285714
97,Car,TargetEncoder,OneHotEncoder,0.8507462686567164,0.8464285714285714
98,Car,TargetEncoder,FrequencyEncoder,0.8507462686567164,0.8464285714285714
99,Car,TargetEncoder,TargetEncoder,0.8507462686567164,0.8464285714285714
100,Adult,BinaryEncoder,BinaryEncoder,0.8052130796033236,0.7418611562537618
101,Adult,BinaryEncoder,HelmertEncoder,0.8019967837041008,0.7389971058545003
102,Adult,BinaryEncoder,LabelEncoder,0.8048110426159206,0.7423213604991773
103,Adult,BinaryEncoder,JamesSteinEncoder,0.8044090056285178,0.7406905822398779
104,Adult,BinaryEncoder,BaseNEncoder,0.8052130796033236,0.7418611562537618
105,Adult,BinaryEncoder,HashingEncoder,0.8038059501474135,0.7403808534970507
106,Adult,BinaryEncoder,SumEncoder,0.8020637898686679,0.7385870601099475
107,Adult,BinaryEncoder,OneHotEncoder,0.8015277405521308,0.7376854610569399
108,Adult,BinaryEncoder,FrequencyEncoder,0.8024658268560707,0.7412178734801975
109,Adult,BinaryEncoder,TargetEncoder,0.8044090056285178,0.7406905822398779
110,Adult,HelmertEncoder,BinaryEncoder,0.8096354864647548,0.7505266642590587
111,Adult,HelmertEncoder,HelmertEncoder,0.8093004556419191,0.7508495596083625
112,Adult,HelmertEncoder,LabelEncoder,0.8101045296167247,0.7532019932988243
113,Adult,HelmertEncoder,JamesSteinEncoder,0.8118466898954704,0.752813891898399
114,Adult,HelmertEncoder,BaseNEncoder,0.8096354864647548,0.7505266642590587
115,Adult,HelmertEncoder,HashingEncoder,0.8082283570088448,0.7507736948758076
116,Adult,HelmertEncoder,SumEncoder,0.8086303939962477,0.7505862274788332
117,Adult,HelmertEncoder,OneHotEncoder,0.8078933261860091,0.749732905982906
118,Adult,HelmertEncoder,FrequencyEncoder,0.8070892522112034,0.7461077003330524
119,Adult,HelmertEncoder,TargetEncoder,0.8118466898954704,0.752813891898399
