,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Cardinality,Score
79,car,drive_wheels,Nominal,HashingEncoder,,2,0.04477611940298507
80,car,fuel_type,Nominal,LabelEncoder,,2,0.029850746268656716
81,car,fuel_type,Nominal,BaseNEncoder,,2,0.029850746268656716
82,car,fuel_type,Nominal,SumEncoder,,2,0.04477611940298507
83,car,fuel_type,Nominal,JamesSteinEncoder,,2,0.029850746268656716
84,car,fuel_type,Nominal,FrequencyEncoder,,2,0.029850746268656716
85,car,fuel_type,Nominal,TargetEncoder,,2,0.029850746268656716
86,car,fuel_type,Nominal,BinaryEncoder,,2,0.029850746268656716
87,car,fuel_type,Nominal,HelmertEncoder,,2,0.014925373134328358
88,car,fuel_type,Nominal,OneHotEncoder,,2,0.014925373134328358
89,car,fuel_type,Nominal,HashingEncoder,,2,0.029850746268656716
90,audiology,o_ar_c,Nominal,LabelEncoder,,3,0.25396825396825395
91,audiology,o_ar_c,Nominal,BaseNEncoder,,3,0.25396825396825395
92,audiology,o_ar_c,Nominal,SumEncoder,,3,0.25396825396825395
93,audiology,o_ar_c,Nominal,JamesSteinEncoder,,3,0.25396825396825395
94,audiology,o_ar_c,Nominal,FrequencyEncoder,,3,0.25396825396825395
95,audiology,o_ar_c,Nominal,TargetEncoder,,3,0.25396825396825395
96,audiology,o_ar_c,Nominal,BinaryEncoder,,3,0.25396825396825395
97,audiology,o_ar_c,Nominal,HelmertEncoder,,3,0.25396825396825395
98,audiology,o_ar_c,Nominal,OneHotEncoder,,3,0.25396825396825395
99,audiology,o_ar_c,Nominal,HashingEncoder,,3,0.20634920634920634
100,audiology,indentifier,Nominal,LabelEncoder,,190,0.25396825396825395
101,audiology,indentifier,Nominal,BaseNEncoder,,190,0.19047619047619047
102,audiology,indentifier,Nominal,SumEncoder,,190,0.20634920634920634
103,audiology,indentifier,Nominal,JamesSteinEncoder,,190,0.20634920634920634
104,audiology,indentifier,Nominal,FrequencyEncoder,,190,0.20634920634920634
105,audiology,indentifier,Nominal,TargetEncoder,,190,0.20634920634920634
106,audiology,indentifier,Nominal,BinaryEncoder,,190,0.19047619047619047
107,audiology,indentifier,Nominal,HelmertEncoder,,190,0.25396825396825395
108,audiology,indentifier,Nominal,OneHotEncoder,,190,0.20634920634920634
109,audiology,indentifier,Nominal,HashingEncoder,,190,0.1746031746031746
110,audiology,air,Ordinal,LabelEncoder,,4,0.23809523809523808
111,audiology,air,Ordinal,BaseNEncoder,,4,0.23809523809523808
112,audiology,air,Ordinal,SumEncoder,,4,0.23809523809523808
113,audiology,air,Ordinal,JamesSteinEncoder,,4,0.23809523809523808
114,audiology,air,Ordinal,FrequencyEncoder,,4,0.23809523809523808
115,audiology,air,Ordinal,TargetEncoder,,4,0.23809523809523808
116,audiology,air,Ordinal,BinaryEncoder,,4,0.23809523809523808
117,audiology,air,Ordinal,HelmertEncoder,,4,0.23809523809523808
118,audiology,air,Ordinal,OneHotEncoder,,4,0.23809523809523808
119,audiology,air,Ordinal,HashingEncoder,,4,0.25396825396825395
120,audiology,ar_u,Nominal,LabelEncoder,,3,0.20634920634920634
121,audiology,ar_u,Nominal,BaseNEncoder,,3,0.20634920634920634
122,audiology,ar_u,Nominal,SumEncoder,,3,0.20634920634920634
123,audiology,ar_u,Nominal,JamesSteinEncoder,,3,0.20634920634920634
124,audiology,ar_u,Nominal,FrequencyEncoder,,3,0.20634920634920634
125,audiology,ar_u,Nominal,TargetEncoder,,3,0.20634920634920634
126,audiology,ar_u,Nominal,BinaryEncoder,,3,0.20634920634920634
127,audiology,ar_u,Nominal,HelmertEncoder,,3,0.20634920634920634
128,audiology,ar_u,Nominal,OneHotEncoder,,3,0.20634920634920634
129,audiology,ar_u,Nominal,HashingEncoder,,3,0.20634920634920634
130,audiology,ar_c,Nominal,LabelEncoder,,3,0.2698412698412698
131,audiology,ar_c,Nominal,BaseNEncoder,,3,0.2698412698412698
132,audiology,ar_c,Nominal,SumEncoder,,3,0.2698412698412698
133,audiology,ar_c,Nominal,JamesSteinEncoder,,3,0.2698412698412698
134,audiology,ar_c,Nominal,FrequencyEncoder,,3,0.2698412698412698
135,audiology,ar_c,Nominal,TargetEncoder,,3,0.2698412698412698
136,audiology,ar_c,Nominal,BinaryEncoder,,3,0.2698412698412698
137,audiology,ar_c,Nominal,HelmertEncoder,,3,0.2698412698412698
138,audiology,ar_c,Nominal,OneHotEncoder,,3,0.2698412698412698
139,audiology,ar_c,Nominal,HashingEncoder,,3,0.2222222222222222
140,audiology,speech,Ordinal,LabelEncoder,,6,0.2698412698412698
141,audiology,speech,Ordinal,BaseNEncoder,,6,0.2698412698412698
142,audiology,speech,Ordinal,SumEncoder,,6,0.2698412698412698
143,audiology,speech,Ordinal,JamesSteinEncoder,,6,0.2698412698412698
144,audiology,speech,Ordinal,FrequencyEncoder,,6,0.2698412698412698
145,audiology,speech,Ordinal,TargetEncoder,,6,0.2698412698412698
146,audiology,speech,Ordinal,BinaryEncoder,,6,0.2698412698412698
147,audiology,speech,Ordinal,HelmertEncoder,,6,0.2698412698412698
148,audiology,speech,Ordinal,OneHotEncoder,,6,0.2698412698412698
149,audiology,speech,Ordinal,HashingEncoder,,6,0.25396825396825395
150,audiology,o_ar_u,Nominal,LabelEncoder,,3,0.2857142857142857
151,audiology,o_ar_u,Nominal,BaseNEncoder,,3,0.2857142857142857
152,audiology,o_ar_u,Nominal,SumEncoder,,3,0.2857142857142857
153,audiology,o_ar_u,Nominal,JamesSteinEncoder,,3,0.2857142857142857
154,audiology,o_ar_u,Nominal,FrequencyEncoder,,3,0.2857142857142857
155,audiology,o_ar_u,Nominal,TargetEncoder,,3,0.2857142857142857
156,audiology,o_ar_u,Nominal,BinaryEncoder,,3,0.2857142857142857
157,audiology,o_ar_u,Nominal,HelmertEncoder,,3,0.2857142857142857
158,audiology,o_ar_u,Nominal,OneHotEncoder,,3,0.2857142857142857
159,audiology,o_ar_u,Nominal,HashingEncoder,,3,0.23809523809523808
160,bridges,CLEAR-G,Nominal,LabelEncoder,,2,0.6857142857142857
161,bridges,CLEAR-G,Nominal,BaseNEncoder,,2,0.6857142857142857
162,bridges,CLEAR-G,Nominal,SumEncoder,,2,0.6857142857142857
163,bridges,CLEAR-G,Nominal,JamesSteinEncoder,,2,0.6857142857142857
164,bridges,CLEAR-G,Nominal,FrequencyEncoder,,2,0.6857142857142857
165,bridges,CLEAR-G,Nominal,TargetEncoder,,2,0.6857142857142857
166,bridges,CLEAR-G,Nominal,BinaryEncoder,,2,0.6857142857142857
167,bridges,CLEAR-G,Nominal,HelmertEncoder,,2,0.6857142857142857
168,bridges,CLEAR-G,Nominal,OneHotEncoder,,2,0.6857142857142857
169,bridges,CLEAR-G,Nominal,HashingEncoder,,2,0.6857142857142857
170,bridges,SPAN,Ordinal,LabelEncoder,,3,0.6857142857142857
171,bridges,SPAN,Ordinal,BaseNEncoder,,3,0.6857142857142857
172,bridges,SPAN,Ordinal,SumEncoder,,3,0.6857142857142857
173,bridges,SPAN,Ordinal,JamesSteinEncoder,,3,0.6857142857142857
174,bridges,SPAN,Ordinal,FrequencyEncoder,,3,0.6857142857142857
175,bridges,SPAN,Ordinal,TargetEncoder,,3,0.6857142857142857
176,bridges,SPAN,Ordinal,BinaryEncoder,,3,0.6857142857142857
177,bridges,SPAN,Ordinal,HelmertEncoder,,3,0.6285714285714286
178,bridges,SPAN,Ordinal,OneHotEncoder,,3,0.6857142857142857
179,bridges,SPAN,Ordinal,HashingEncoder,,3,0.6285714285714286
180,bridges,MATERIAL,Nominal,LabelEncoder,,3,0.7142857142857143
181,bridges,MATERIAL,Nominal,BaseNEncoder,,3,0.7142857142857143
182,bridges,MATERIAL,Nominal,SumEncoder,,3,0.7142857142857143
183,bridges,MATERIAL,Nominal,JamesSteinEncoder,,3,0.7142857142857143
184,bridges,MATERIAL,Nominal,FrequencyEncoder,,3,0.6857142857142857
185,bridges,MATERIAL,Nominal,TargetEncoder,,3,0.7142857142857143
186,bridges,MATERIAL,Nominal,BinaryEncoder,,3,0.7142857142857143
187,bridges,MATERIAL,Nominal,HelmertEncoder,,3,0.7142857142857143
188,bridges,MATERIAL,Nominal,OneHotEncoder,,3,0.7142857142857143
189,bridges,MATERIAL,Nominal,HashingEncoder,,3,0.7142857142857143
190,bridges,RIVER,Nominal,LabelEncoder,,4,0.6571428571428571
191,bridges,RIVER,Nominal,BaseNEncoder,,4,0.6571428571428571
192,bridges,RIVER,Nominal,SumEncoder,,4,0.6857142857142857
193,bridges,RIVER,Nominal,JamesSteinEncoder,,4,0.6571428571428571
194,bridges,RIVER,Nominal,FrequencyEncoder,,4,0.6571428571428571
195,bridges,RIVER,Nominal,TargetEncoder,,4,0.6571428571428571
196,bridges,RIVER,Nominal,BinaryEncoder,,4,0.6571428571428571
197,bridges,RIVER,Nominal,HelmertEncoder,,4,0.6857142857142857
198,bridges,RIVER,Nominal,OneHotEncoder,,4,0.6857142857142857
199,bridges,RIVER,Nominal,HashingEncoder,,4,0.6857142857142857
200,bridges,IDENTIF,Nominal,LabelEncoder,,106,0.6285714285714286
