,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Cardinality,Score,Roc_auc_score
51,Adult,education-num,Ordinal,SumEncoder,OneHotEncoder,16,0.805481104261592,0.7445847628506079
52,Adult,education-num,Ordinal,SumEncoder,TargetEncoder,16,0.8110426159206647,0.7496432476626138
53,Adult,education-num,Ordinal,SumEncoder,HelmertEncoder,16,0.8052800857678907,0.7461785492155211
54,Adult,education-num,Ordinal,SumEncoder,BinaryEncoder,16,0.8032028946663093,0.7398893001885959
55,Adult,education-num,Ordinal,SumEncoder,SumEncoder,16,0.8084963816671134,0.747769827655391
56,Adult,education-num,Ordinal,SumEncoder,JamesSteinEncoder,16,0.8111096220852319,0.7496877633321295
57,Adult,education-num,Ordinal,SumEncoder,HashingEncoder,16,0.7913428035379255,0.7252825177561093
58,Adult,education-num,Ordinal,SumEncoder,BaseNEncoder,16,0.8032028946663093,0.7398893001885959
59,Adult,education-num,Ordinal,SumEncoder,FrequencyEncoder,16,0.8075582953631734,0.7465102223024758
60,Adult,education-num,Ordinal,JamesSteinEncoder,LabelEncoder,16,0.7995845617796837,0.735394471530035
61,Adult,education-num,Ordinal,JamesSteinEncoder,OneHotEncoder,16,0.805481104261592,0.7445847628506079
62,Adult,education-num,Ordinal,JamesSteinEncoder,TargetEncoder,16,0.8110426159206647,0.7496432476626138
63,Adult,education-num,Ordinal,JamesSteinEncoder,HelmertEncoder,16,0.8052800857678907,0.7461785492155211
64,Adult,education-num,Ordinal,JamesSteinEncoder,BinaryEncoder,16,0.8032028946663093,0.7398893001885959
65,Adult,education-num,Ordinal,JamesSteinEncoder,SumEncoder,16,0.8084963816671134,0.747769827655391
66,Adult,education-num,Ordinal,JamesSteinEncoder,JamesSteinEncoder,16,0.8111096220852319,0.7496877633321295
67,Adult,education-num,Ordinal,JamesSteinEncoder,HashingEncoder,16,0.7913428035379255,0.7252825177561093
68,Adult,education-num,Ordinal,JamesSteinEncoder,BaseNEncoder,16,0.8032028946663093,0.7398893001885959
69,Adult,education-num,Ordinal,JamesSteinEncoder,FrequencyEncoder,16,0.8075582953631734,0.7465102223024758
70,Adult,education-num,Ordinal,HashingEncoder,LabelEncoder,16,0.7995845617796837,0.735394471530035
71,Adult,education-num,Ordinal,HashingEncoder,OneHotEncoder,16,0.805481104261592,0.7445847628506079
72,Adult,education-num,Ordinal,HashingEncoder,TargetEncoder,16,0.8110426159206647,0.7496432476626138
73,Adult,education-num,Ordinal,HashingEncoder,HelmertEncoder,16,0.8052800857678907,0.7461785492155211
74,Adult,education-num,Ordinal,HashingEncoder,BinaryEncoder,16,0.8032028946663093,0.7398893001885959
75,Adult,education-num,Ordinal,HashingEncoder,SumEncoder,16,0.8084963816671134,0.747769827655391
76,Adult,education-num,Ordinal,HashingEncoder,JamesSteinEncoder,16,0.8111096220852319,0.7496877633321295
