,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Cardinality,Score,Roc_auc_score
63,Bridges,T-OR-D,Nominal,LabelEncoder,,2,0.5714285714285714,0.0
64,Bridges,T-OR-D,Nominal,JamesSteinEncoder,,2,0.5714285714285714,0.0
65,Bridges,T-OR-D,Nominal,FrequencyEncoder,,2,0.5714285714285714,0.0
66,Bridges,T-OR-D,Nominal,BaseNEncoder,,2,0.5714285714285714,0.0
67,Bridges,T-OR-D,Nominal,HashingEncoder,,2,0.5714285714285714,0.0
68,Bridges,T-OR-D,Nominal,TargetEncoder,,2,0.5714285714285714,0.0
69,Bridges,T-OR-D,Nominal,OneHotEncoder,,2,0.5714285714285714,0.0
70,Bridges,RIVER,Nominal,SumEncoder,,4,0.6285714285714286,0.0
71,Bridges,RIVER,Nominal,BinaryEncoder,,4,0.6285714285714286,0.0
72,Bridges,RIVER,Nominal,HelmertEncoder,,4,0.6285714285714286,0.0
73,Bridges,RIVER,Nominal,LabelEncoder,,4,0.6285714285714286,0.0
74,Bridges,RIVER,Nominal,JamesSteinEncoder,,4,0.6285714285714286,0.0
75,Bridges,RIVER,Nominal,FrequencyEncoder,,4,0.6285714285714286,0.0
76,Bridges,RIVER,Nominal,BaseNEncoder,,4,0.6285714285714286,0.0
77,Bridges,RIVER,Nominal,HashingEncoder,,4,0.6285714285714286,0.0
78,Bridges,RIVER,Nominal,TargetEncoder,,4,0.6285714285714286,0.0
79,Bridges,RIVER,Nominal,OneHotEncoder,,4,0.6285714285714286,0.0
80,Car,num_of_cylinders,Nominal,SumEncoder,,7,0.7313432835820896,0.0
81,Car,num_of_cylinders,Nominal,BinaryEncoder,,7,0.7313432835820896,0.0
82,Car,num_of_cylinders,Nominal,HelmertEncoder,,7,0.7313432835820896,0.0
83,Car,num_of_cylinders,Nominal,LabelEncoder,,7,0.7313432835820896,0.0
84,Car,num_of_cylinders,Nominal,JamesSteinEncoder,,7,0.746268656716418,0.0
85,Car,num_of_cylinders,Nominal,FrequencyEncoder,,7,0.7313432835820896,0.0
86,Car,num_of_cylinders,Nominal,BaseNEncoder,,7,0.7313432835820896,0.0
87,Car,num_of_cylinders,Nominal,HashingEncoder,,7,0.7313432835820896,0.0
88,Car,num_of_cylinders,Nominal,TargetEncoder,,7,0.7313432835820896,0.0
89,Car,num_of_cylinders,Nominal,OneHotEncoder,,7,0.7313432835820896,0.0
90,Car,fuel_system,Nominal,SumEncoder,,8,0.8208955223880597,0.0
91,Car,fuel_system,Nominal,BinaryEncoder,,8,0.835820895522388,0.0
92,Car,fuel_system,Nominal,HelmertEncoder,,8,0.8208955223880597,0.0
93,Car,fuel_system,Nominal,LabelEncoder,,8,0.835820895522388,0.0
94,Car,fuel_system,Nominal,JamesSteinEncoder,,8,0.835820895522388,0.0
95,Car,fuel_system,Nominal,FrequencyEncoder,,8,0.835820895522388,0.0
