,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score
76,titanic,Name,Nominal,BaseNEncoder,SumEncoder,0.8305084745762712
77,titanic,Name,Nominal,SumEncoder,OneHotEncoder,0.8271186440677966
78,titanic,Name,Nominal,SumEncoder,BinaryEncoder,0.8305084745762712
79,titanic,Name,Nominal,SumEncoder,HashingEncoder,0.8271186440677966
80,titanic,Name,Nominal,SumEncoder,HelmertEncoder,0.5932203389830508
81,titanic,Name,Nominal,SumEncoder,BaseNEncoder,0.8305084745762712
82,titanic,Name,Nominal,SumEncoder,SumEncoder,0.8305084745762712
83,titanic,Name,Nominal,SumEncoder,SumEncoder,0.8305084745762712
84,titanic,Ticket,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
85,titanic,Ticket,Nominal,OneHotEncoder,BinaryEncoder,0.8101694915254237
86,titanic,Ticket,Nominal,OneHotEncoder,HashingEncoder,0.8101694915254237
87,titanic,Ticket,Nominal,OneHotEncoder,HelmertEncoder,0.7661016949152543
88,titanic,Ticket,Nominal,OneHotEncoder,BaseNEncoder,0.8101694915254237
89,titanic,Ticket,Nominal,OneHotEncoder,SumEncoder,0.8305084745762712
90,titanic,Ticket,Nominal,OneHotEncoder,SumEncoder,0.8305084745762712
91,titanic,Ticket,Nominal,BinaryEncoder,OneHotEncoder,0.8169491525423729
92,titanic,Ticket,Nominal,BinaryEncoder,BinaryEncoder,0.8169491525423729
93,titanic,Ticket,Nominal,BinaryEncoder,HashingEncoder,0.8135593220338984
94,titanic,Ticket,Nominal,BinaryEncoder,HelmertEncoder,0.7694915254237288
95,titanic,Ticket,Nominal,BinaryEncoder,BaseNEncoder,0.8067796610169492
96,titanic,Ticket,Nominal,BinaryEncoder,SumEncoder,0.8203389830508474
97,titanic,Ticket,Nominal,BinaryEncoder,SumEncoder,0.8101694915254237
98,titanic,Ticket,Nominal,HashingEncoder,OneHotEncoder,0.7423728813559322
99,titanic,Ticket,Nominal,HashingEncoder,BinaryEncoder,0.7254237288135593
100,titanic,Ticket,Nominal,HashingEncoder,HashingEncoder,0.7050847457627119
101,titanic,Ticket,Nominal,HashingEncoder,HelmertEncoder,0.6779661016949152
102,titanic,Ticket,Nominal,HashingEncoder,BaseNEncoder,0.735593220338983
103,titanic,Ticket,Nominal,HashingEncoder,SumEncoder,0.7389830508474576
104,titanic,Ticket,Nominal,HashingEncoder,SumEncoder,0.8101694915254237
