,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score
76,car,make,Nominal,BinaryEncoder,OneHotEncoder,0.04477611940298507
77,car,make,Nominal,BinaryEncoder,BinaryEncoder,0.029850746268656716
78,car,make,Nominal,BinaryEncoder,HashingEncoder,0.04477611940298507
79,car,make,Nominal,BinaryEncoder,HashingEncoder,0.029850746268656716
80,car,make,Nominal,HashingEncoder,OneHotEncoder,0.04477611940298507
81,car,make,Nominal,HashingEncoder,BinaryEncoder,0.029850746268656716
82,car,make,Nominal,HashingEncoder,HashingEncoder,0.04477611940298507
83,car,make,Nominal,HashingEncoder,HashingEncoder,0.04477611940298507
84,car,aspiration,Nominal,OneHotEncoder,OneHotEncoder,0.014925373134328358
85,car,aspiration,Nominal,OneHotEncoder,BinaryEncoder,0.014925373134328358
86,car,aspiration,Nominal,OneHotEncoder,HashingEncoder,0.014925373134328358
87,car,aspiration,Nominal,OneHotEncoder,HashingEncoder,0.029850746268656716
88,car,aspiration,Nominal,BinaryEncoder,OneHotEncoder,0.029850746268656716
89,car,aspiration,Nominal,BinaryEncoder,BinaryEncoder,0.029850746268656716
90,car,aspiration,Nominal,BinaryEncoder,HashingEncoder,0.029850746268656716
91,car,aspiration,Nominal,BinaryEncoder,HashingEncoder,0.029850746268656716
92,car,aspiration,Nominal,HashingEncoder,OneHotEncoder,0.029850746268656716
93,car,aspiration,Nominal,HashingEncoder,BinaryEncoder,0.029850746268656716
94,car,aspiration,Nominal,HashingEncoder,HashingEncoder,0.029850746268656716
95,car,aspiration,Nominal,HashingEncoder,HashingEncoder,0.029850746268656716
96,car,drive_wheels,Nominal,OneHotEncoder,OneHotEncoder,0.014925373134328358
97,car,drive_wheels,Nominal,OneHotEncoder,BinaryEncoder,0.014925373134328358
98,car,drive_wheels,Nominal,OneHotEncoder,HashingEncoder,0.014925373134328358
99,car,drive_wheels,Nominal,OneHotEncoder,HashingEncoder,0.029850746268656716
100,car,drive_wheels,Nominal,BinaryEncoder,OneHotEncoder,0.029850746268656716
101,car,drive_wheels,Nominal,BinaryEncoder,BinaryEncoder,0.029850746268656716
102,car,drive_wheels,Nominal,BinaryEncoder,HashingEncoder,0.029850746268656716
103,car,drive_wheels,Nominal,BinaryEncoder,HashingEncoder,0.029850746268656716
104,car,drive_wheels,Nominal,HashingEncoder,OneHotEncoder,0.029850746268656716
105,car,drive_wheels,Nominal,HashingEncoder,BinaryEncoder,0.029850746268656716
106,car,drive_wheels,Nominal,HashingEncoder,HashingEncoder,0.029850746268656716
107,car,drive_wheels,Nominal,HashingEncoder,HashingEncoder,0.029850746268656716
108,car,engine_type,Nominal,OneHotEncoder,OneHotEncoder,0.014925373134328358
109,car,engine_type,Nominal,OneHotEncoder,BinaryEncoder,0.014925373134328358
110,car,engine_type,Nominal,OneHotEncoder,HashingEncoder,0.014925373134328358
111,car,engine_type,Nominal,OneHotEncoder,HashingEncoder,0.029850746268656716
112,car,engine_type,Nominal,BinaryEncoder,OneHotEncoder,0.029850746268656716
113,car,engine_type,Nominal,BinaryEncoder,BinaryEncoder,0.029850746268656716
