,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score
65,titanic,Pclass,Ordinal,BinaryEncoder,HashingEncoder,0.6949152542372882
66,titanic,Pclass,Ordinal,BinaryEncoder,LabelEncoder,0.8169491525423729
67,titanic,Pclass,Ordinal,BinaryEncoder,OneHotEncoder,0.8305084745762712
68,titanic,Pclass,Ordinal,BinaryEncoder,BinaryEncoder,0.823728813559322
69,titanic,Pclass,Ordinal,BinaryEncoder,FrequencyEncoder,0.823728813559322
70,titanic,Pclass,Ordinal,FrequencyEncoder,HashingEncoder,0.6610169491525424
71,titanic,Pclass,Ordinal,FrequencyEncoder,LabelEncoder,0.8135593220338984
72,titanic,Pclass,Ordinal,FrequencyEncoder,OneHotEncoder,0.8135593220338984
73,titanic,Pclass,Ordinal,FrequencyEncoder,BinaryEncoder,0.8169491525423729
74,titanic,Pclass,Ordinal,FrequencyEncoder,FrequencyEncoder,0.8135593220338984
75,titanic,PassengerId,Nominal,HashingEncoder,HashingEncoder,0.6949152542372882
76,titanic,PassengerId,Nominal,HashingEncoder,LabelEncoder,0.8101694915254237
77,titanic,PassengerId,Nominal,HashingEncoder,OneHotEncoder,0.8305084745762712
78,titanic,PassengerId,Nominal,HashingEncoder,BinaryEncoder,0.823728813559322
79,titanic,PassengerId,Nominal,HashingEncoder,FrequencyEncoder,0.8135593220338984
80,titanic,PassengerId,Nominal,LabelEncoder,HashingEncoder,0.6949152542372882
81,titanic,PassengerId,Nominal,LabelEncoder,LabelEncoder,0.8101694915254237
82,titanic,PassengerId,Nominal,LabelEncoder,OneHotEncoder,0.8305084745762712
83,titanic,PassengerId,Nominal,LabelEncoder,BinaryEncoder,0.823728813559322
84,titanic,PassengerId,Nominal,LabelEncoder,FrequencyEncoder,0.8135593220338984
85,titanic,PassengerId,Nominal,OneHotEncoder,HashingEncoder,0.6949152542372882
86,titanic,PassengerId,Nominal,OneHotEncoder,LabelEncoder,0.8101694915254237
87,titanic,PassengerId,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
88,titanic,PassengerId,Nominal,OneHotEncoder,BinaryEncoder,0.823728813559322
89,titanic,PassengerId,Nominal,OneHotEncoder,FrequencyEncoder,0.8135593220338984
90,titanic,PassengerId,Nominal,BinaryEncoder,HashingEncoder,0.6949152542372882
91,titanic,PassengerId,Nominal,BinaryEncoder,LabelEncoder,0.8101694915254237
92,titanic,PassengerId,Nominal,BinaryEncoder,OneHotEncoder,0.8305084745762712
93,titanic,PassengerId,Nominal,BinaryEncoder,BinaryEncoder,0.823728813559322
94,titanic,PassengerId,Nominal,BinaryEncoder,FrequencyEncoder,0.8135593220338984
95,titanic,PassengerId,Nominal,FrequencyEncoder,HashingEncoder,0.6915254237288135
96,titanic,PassengerId,Nominal,FrequencyEncoder,LabelEncoder,0.8101694915254237
97,titanic,PassengerId,Nominal,FrequencyEncoder,OneHotEncoder,0.8305084745762712
98,titanic,PassengerId,Nominal,FrequencyEncoder,BinaryEncoder,0.823728813559322
99,titanic,PassengerId,Nominal,FrequencyEncoder,FrequencyEncoder,0.8135593220338984
100,titanic,Name,Nominal,HashingEncoder,HashingEncoder,0.6847457627118644
101,titanic,Name,Nominal,HashingEncoder,LabelEncoder,0.8067796610169492
102,titanic,Name,Nominal,HashingEncoder,OneHotEncoder,0.8271186440677966
103,titanic,Name,Nominal,HashingEncoder,BinaryEncoder,0.8135593220338984
104,titanic,Name,Nominal,HashingEncoder,FrequencyEncoder,0.8101694915254237
105,titanic,Name,Nominal,LabelEncoder,HashingEncoder,0.6915254237288135
106,titanic,Name,Nominal,LabelEncoder,LabelEncoder,0.8101694915254237
107,titanic,Name,Nominal,LabelEncoder,OneHotEncoder,0.8271186440677966
108,titanic,Name,Nominal,LabelEncoder,BinaryEncoder,0.8169491525423729
109,titanic,Name,Nominal,LabelEncoder,FrequencyEncoder,0.8135593220338984
110,titanic,Name,Nominal,OneHotEncoder,HashingEncoder,0.6949152542372882
