,DataSetName,NominalEncoder,OrdinalEncoder,Score
103,titanic,JamesSteinEncoder,SumEncoder,0.9864406779661017
104,titanic,JamesSteinEncoder,OneHotEncoder,0.9864406779661017
105,titanic,JamesSteinEncoder,LabelEncoder,0.9864406779661017
106,titanic,JamesSteinEncoder,BinaryEncoder,0.9864406779661017
107,titanic,JamesSteinEncoder,FrequencyEncoder,0.9864406779661017
108,titanic,JamesSteinEncoder,TargetEncoder,0.9864406779661017
109,titanic,JamesSteinEncoder,HashingEncoder,0.9864406779661017
110,titanic,BaseNEncoder,JamesSteinEncoder,0.7694915254237288
111,titanic,BaseNEncoder,BaseNEncoder,0.7694915254237288
112,titanic,BaseNEncoder,HelmertEncoder,0.7694915254237288
113,titanic,BaseNEncoder,SumEncoder,0.7694915254237288
114,titanic,BaseNEncoder,OneHotEncoder,0.7694915254237288
115,titanic,BaseNEncoder,LabelEncoder,0.7694915254237288
116,titanic,BaseNEncoder,BinaryEncoder,0.7694915254237288
117,titanic,BaseNEncoder,FrequencyEncoder,0.7694915254237288
118,titanic,BaseNEncoder,TargetEncoder,0.7694915254237288
119,titanic,BaseNEncoder,HashingEncoder,0.7694915254237288
120,titanic,HelmertEncoder,JamesSteinEncoder,0.823728813559322
121,titanic,HelmertEncoder,BaseNEncoder,0.823728813559322
122,titanic,HelmertEncoder,HelmertEncoder,0.823728813559322
123,titanic,HelmertEncoder,SumEncoder,0.823728813559322
124,titanic,HelmertEncoder,OneHotEncoder,0.823728813559322
125,titanic,HelmertEncoder,LabelEncoder,0.823728813559322
126,titanic,HelmertEncoder,BinaryEncoder,0.823728813559322
127,titanic,HelmertEncoder,FrequencyEncoder,0.823728813559322
128,titanic,HelmertEncoder,TargetEncoder,0.823728813559322
129,titanic,HelmertEncoder,HashingEncoder,0.823728813559322
130,titanic,SumEncoder,JamesSteinEncoder,0.8
131,titanic,SumEncoder,BaseNEncoder,0.8
132,titanic,SumEncoder,HelmertEncoder,0.8
133,titanic,SumEncoder,SumEncoder,0.8
134,titanic,SumEncoder,OneHotEncoder,0.8
135,titanic,SumEncoder,LabelEncoder,0.8
136,titanic,SumEncoder,BinaryEncoder,0.8
137,titanic,SumEncoder,FrequencyEncoder,0.8
138,titanic,SumEncoder,TargetEncoder,0.8
139,titanic,SumEncoder,HashingEncoder,0.8
140,titanic,OneHotEncoder,JamesSteinEncoder,0.7898305084745763
141,titanic,OneHotEncoder,BaseNEncoder,0.7898305084745763
142,titanic,OneHotEncoder,HelmertEncoder,0.7898305084745763
143,titanic,OneHotEncoder,SumEncoder,0.7898305084745763
144,titanic,OneHotEncoder,OneHotEncoder,0.7898305084745763
145,titanic,OneHotEncoder,LabelEncoder,0.7898305084745763
146,titanic,OneHotEncoder,BinaryEncoder,0.7898305084745763
147,titanic,OneHotEncoder,FrequencyEncoder,0.7796610169491526
148,titanic,OneHotEncoder,TargetEncoder,0.7898305084745763
149,titanic,OneHotEncoder,HashingEncoder,0.7898305084745763
150,titanic,LabelEncoder,JamesSteinEncoder,0.752542372881356
151,titanic,LabelEncoder,BaseNEncoder,0.752542372881356
152,titanic,LabelEncoder,HelmertEncoder,0.752542372881356
153,titanic,LabelEncoder,SumEncoder,0.752542372881356
154,titanic,LabelEncoder,OneHotEncoder,0.752542372881356
155,titanic,LabelEncoder,LabelEncoder,0.752542372881356
156,titanic,LabelEncoder,BinaryEncoder,0.752542372881356
157,titanic,LabelEncoder,FrequencyEncoder,0.752542372881356
158,titanic,LabelEncoder,TargetEncoder,0.752542372881356
159,titanic,LabelEncoder,HashingEncoder,0.752542372881356
160,titanic,BinaryEncoder,JamesSteinEncoder,0.7694915254237288
161,titanic,BinaryEncoder,BaseNEncoder,0.7694915254237288
162,titanic,BinaryEncoder,HelmertEncoder,0.7694915254237288
163,titanic,BinaryEncoder,SumEncoder,0.7694915254237288
164,titanic,BinaryEncoder,OneHotEncoder,0.7694915254237288
165,titanic,BinaryEncoder,LabelEncoder,0.7694915254237288
166,titanic,BinaryEncoder,BinaryEncoder,0.7694915254237288
167,titanic,BinaryEncoder,FrequencyEncoder,0.7694915254237288
